year,mileage,engineSize,transmission,model,fuelType,price
2019,14333,2,Semi-Auto, C Class,Diesel,24299
2019,14344,2,Semi-Auto, C Class,Diesel,25999
2018,8069,2.1,Semi-Auto, C Class,Diesel,26189
2019,7621,2,Automatic, C Class,Diesel,29799
2019,8205,2,Semi-Auto, C Class,Diesel,29099
2017,25241,2.1,Semi-Auto, C Class,Diesel,19499
2018,9304,1.6,Semi-Auto, C Class,Diesel,24499
2019,12946,2,Semi-Auto, C Class,Diesel,23799
2019,9551,3,Semi-Auto, C Class,Petrol,43199
2019,8116,3,Semi-Auto, C Class,Petrol,41499
2019,4279,2,Semi-Auto, C Class,Diesel,29699
2019,1362,2,Semi-Auto, C Class,Diesel,32699
2019,1000,2,Semi-Auto, C Class,Diesel,32069
2019,5426,1.5,Semi-Auto, C Class,Petrol,27699
2019,1000,2,Semi-Auto, C Class,Diesel,32959
2019,9053,2,Semi-Auto, C Class,Petrol,29549
2016,9272,2.1,Semi-Auto, C Class,Diesel,21099
2017,19372,1.6,Semi-Auto, C Class,Diesel,16995
2016,57138,2.1,Manual, C Class,Diesel,13990
2018,1988,2,Automatic, C Class,Petrol,29499
2019,11267,3,Semi-Auto, C Class,Petrol,40099
2019,7430,2,Semi-Auto, C Class,Diesel,28399
2019,14251,1.5,Semi-Auto, C Class,Petrol,19799
2019,11381,1.5,Semi-Auto, C Class,Petrol,20199
2019,14301,1.5,Semi-Auto, C Class,Petrol,19799
2019,9612,1.5,Semi-Auto, C Class,Petrol,26049
2019,1000,2,Semi-Auto, C Class,Diesel,31999
2019,15207,1.5,Semi-Auto, C Class,Petrol,23849
2019,13898,1.5,Semi-Auto, C Class,Petrol,20349
2019,14234,1.5,Semi-Auto, C Class,Petrol,24599
2019,14855,2,Semi-Auto, C Class,Diesel,20299
2019,10387,3,Semi-Auto, C Class,Petrol,40849
2019,14005,1.5,Semi-Auto, C Class,Petrol,20349
2019,14123,1.5,Semi-Auto, C Class,Petrol,20299
2019,2019,1.5,Automatic, C Class,Petrol,26899
2018,18257,2.1,Automatic, C Class,Diesel,25399
2019,1000,2,Semi-Auto, C Class,Diesel,32099
2019,3061,1.5,Semi-Auto, C Class,Petrol,28399
2019,2486,1.5,Automatic, C Class,Petrol,37999
2019,2286,2,Automatic, C Class,Petrol,33299
2019,1724,3,Semi-Auto, C Class,Petrol,46599
2019,1000,2,Automatic, C Class,Petrol,33699
2019,262,4,Semi-Auto, C Class,Petrol,66899
2019,13244,2,Semi-Auto, C Class,Diesel,25849
2019,15144,2,Semi-Auto, C Class,Diesel,25549
2019,13321,2,Semi-Auto, C Class,Diesel,28799
2019,11403,2,Semi-Auto, C Class,Diesel,24299
2019,9693,1.5,Semi-Auto, C Class,Petrol,26049
2019,7133,2,Semi-Auto, C Class,Diesel,28349
2019,6750,2,Semi-Auto, C Class,Diesel,31149
2019,1303,1.5,Semi-Auto, C Class,Petrol,32499
2019,5669,2,Semi-Auto, C Class,Diesel,33799
2017,41005,2.1,Semi-Auto, C Class,Diesel,18049
2019,3462,1.6,Semi-Auto, C Class,Diesel,27499
2019,901,2,Semi-Auto, C Class,Diesel,28599
2019,3784,2,Semi-Auto, C Class,Diesel,31599
2019,2273,2,Semi-Auto, C Class,Diesel,31799
2019,2498,1.5,Semi-Auto, C Class,Petrol,26799
2019,10104,3,Semi-Auto, C Class,Petrol,41999
2019,13004,2,Semi-Auto, C Class,Diesel,20599
2019,3414,2,Semi-Auto, C Class,Petrol,34399
2019,15251,2,Semi-Auto, C Class,Diesel,25699
2019,8959,2,Semi-Auto, C Class,Diesel,29799
2018,16961,1.5,Semi-Auto, C Class,Petrol,22549
2019,16226,2,Semi-Auto, C Class,Diesel,25499
2019,3820,2,Semi-Auto, C Class,Diesel,29099
2018,6550,1.6,Semi-Auto, C Class,Diesel,25049
2015,20100,2.1,Semi-Auto, C Class,Diesel,16789
2017,17800,2.1,Semi-Auto, C Class,Diesel,22899
2019,7580,4,Semi-Auto, C Class,Petrol,62399
2018,5905,2,Automatic, C Class,Petrol,23799
2019,8351,2,Automatic, C Class,Diesel,30149
2019,883,4,Automatic, C Class,Petrol,67159
2017,10709,3,Automatic, C Class,Petrol,35499
2019,118,2,Automatic, C Class,Diesel,31539
2019,5428,2,Automatic, C Class,Petrol,33699
2019,23,2,Automatic, C Class,Diesel,32068
2019,12030,1.5,Semi-Auto, C Class,Petrol,28799
2018,9273,2,Automatic, C Class,Diesel,28149
2019,4405,2,Semi-Auto, C Class,Diesel,29899
2016,30385,2.1,Automatic, C Class,Diesel,22549
2017,27560,2.1,Semi-Auto, C Class,Diesel,18899
2019,8639,1.5,Semi-Auto, C Class,Petrol,25389
2018,7299,2,Automatic, C Class,Diesel,27449
2018,8761,2,Automatic, C Class,Diesel,27249
2019,796,1.5,Automatic, C Class,Petrol,26899
2019,9026,3,Semi-Auto, C Class,Petrol,44399
2018,20001,2.1,Semi-Auto, C Class,Diesel,22699
2017,31475,2.1,Semi-Auto, C Class,Diesel,14899
2020,1000,2,Semi-Auto, C Class,Petrol,39099
2019,14133,1.5,Semi-Auto, C Class,Petrol,19799
2019,14923,2,Semi-Auto, C Class,Diesel,25549
2019,11738,1.5,Semi-Auto, C Class,Petrol,25699
2019,18542,1.5,Semi-Auto, C Class,Petrol,23949
2017,19758,2,Semi-Auto, C Class,Petrol,23649
2019,13276,2,Semi-Auto, C Class,Diesel,20549
2019,14354,1.5,Semi-Auto, C Class,Petrol,20299
2019,13158,2,Semi-Auto, C Class,Diesel,25849
2019,9970,2,Semi-Auto, C Class,Diesel,29449
2019,14708,1.5,Semi-Auto, C Class,Petrol,25199
2020,1000,2,Semi-Auto, C Class,Diesel,37249
2020,1000,3,Semi-Auto, C Class,Petrol,53669
2018,5000,3,Semi-Auto, C Class,Petrol,37999
2019,4900,2,Semi-Auto, C Class,Diesel,28388
2016,25199,2.1,Semi-Auto, C Class,Diesel,18849
2018,7800,2,Semi-Auto, C Class,Diesel,28789
2017,2800,2,Semi-Auto, C Class,Petrol,25999
2019,12781,2,Semi-Auto, C Class,Diesel,26499
2019,13965,2,Semi-Auto, C Class,Diesel,20799
2016,10000,2.1,Semi-Auto, C Class,Diesel,23999
2017,12000,2,Semi-Auto, C Class,Petrol,22999
2019,5005,2,Semi-Auto, C Class,Diesel,28299
2019,14301,1.5,Semi-Auto, C Class,Petrol,19799
2017,17500,2,Semi-Auto, C Class,Petrol,25599
2019,386,1.5,Automatic, C Class,Petrol,27299
2019,3817,1.6,Automatic, C Class,Diesel,27999
2019,6370,1.5,Automatic, C Class,Petrol,24799
2019,14079,2,Semi-Auto, C Class,Diesel,23849
2019,10185,1.5,Semi-Auto, C Class,Petrol,25299
2019,7395,2,Semi-Auto, C Class,Diesel,28299
2019,2899,1.5,Semi-Auto, C Class,Petrol,27399
2019,1941,2,Semi-Auto, C Class,Diesel,34799
2019,5382,2,Semi-Auto, C Class,Diesel,31199
2019,4289,1.6,Manual, C Class,Petrol,23299
2019,3162,1.6,Manual, C Class,Petrol,23499
2019,12668,1.5,Semi-Auto, C Class,Petrol,19999
2019,14316,1.5,Semi-Auto, C Class,Petrol,20299
2019,15144,2,Semi-Auto, C Class,Diesel,25549
2017,21650,2.1,Automatic, C Class,Diesel,24498
2017,24700,3,Automatic, C Class,Petrol,31999
2019,2225,2,Automatic, C Class,Diesel,30249
2019,508,1.5,Automatic, C Class,Petrol,24799
2018,7318,1.5,Automatic, C Class,Petrol,23449
2019,12478,2,Semi-Auto, C Class,Diesel,29899
2019,3798,1.5,Semi-Auto, C Class,Petrol,26499
2019,5922,1.5,Semi-Auto, C Class,Petrol,25999
2019,3341,1.5,Semi-Auto, C Class,Petrol,26599
2019,3376,2,Semi-Auto, C Class,Diesel,28999
2019,5806,2,Semi-Auto, C Class,Petrol,29299
2019,4664,2,Semi-Auto, C Class,Diesel,27599
2019,14311,1.5,Semi-Auto, C Class,Petrol,19799
2018,4574,2,Semi-Auto, C Class,Diesel,29249
2017,29000,2.1,Semi-Auto, C Class,Diesel,17999
2017,14000,2.1,Semi-Auto, C Class,Diesel,22499
2017,26000,3,Automatic, C Class,Petrol,30999
2019,9000,2,Semi-Auto, C Class,Diesel,33149
2016,26428,2.1,Semi-Auto, C Class,Diesel,18799
2019,13269,2,Semi-Auto, C Class,Diesel,25999
2019,7795,1.5,Semi-Auto, C Class,Petrol,26499
2017,19000,2,Semi-Auto, C Class,Petrol,24699
2018,9797,2,Semi-Auto, C Class,Diesel,28789
2017,19169,2.1,Semi-Auto, C Class,Diesel,24499
2018,9977,2,Semi-Auto, C Class,Diesel,28049
2016,34400,2.1,Semi-Auto, C Class,Diesel,20199
2019,5612,2,Semi-Auto, C Class,Diesel,32999
2019,14619,1.5,Semi-Auto, C Class,Petrol,19749
2019,4229,2,Semi-Auto, C Class,Diesel,34199
2019,246,2,Semi-Auto, C Class,Petrol,33699
2019,24,3,Semi-Auto, C Class,Petrol,42699
2019,1000,2,Semi-Auto, C Class,Petrol,33599
2019,13441,2,Semi-Auto, C Class,Diesel,20499
2017,16915,3,Semi-Auto, C Class,Petrol,31349
2015,27501,2.1,Semi-Auto, C Class,Diesel,17089
2016,23000,2.1,Semi-Auto, C Class,Diesel,17799
2016,20115,2,Semi-Auto, C Class,Petrol,18799
2019,1000,1.5,Semi-Auto, C Class,Petrol,29339
2019,8059,1.5,Semi-Auto, C Class,Petrol,26299
2017,19758,2,Semi-Auto, C Class,Petrol,23649
2018,9381,2,Semi-Auto, C Class,Diesel,29199
2019,3335,2,Semi-Auto, C Class,Diesel,24899
2019,2547,1.6,Semi-Auto, C Class,Petrol,25699
2019,2701,1.6,Semi-Auto, C Class,Petrol,28999
2019,10803,1.6,Semi-Auto, C Class,Diesel,27499
2019,1758,1.5,Semi-Auto, C Class,Petrol,26999
2019,5915,2,Semi-Auto, C Class,Petrol,30299
2019,1000,2,Semi-Auto, C Class,Diesel,34649
2019,1900,1.5,Semi-Auto, C Class,Petrol,28699
2019,15016,2,Semi-Auto, C Class,Diesel,25549
2019,12353,2,Semi-Auto, C Class,Diesel,25999
2019,12300,1.5,Semi-Auto, C Class,Petrol,25599
2019,12437,1.5,Semi-Auto, C Class,Petrol,24899
2019,14297,1.5,Semi-Auto, C Class,Petrol,19799
2019,3964,2,Semi-Auto, C Class,Petrol,30399
2019,3115,2,Semi-Auto, C Class,Diesel,31599
2019,1327,1.5,Semi-Auto, C Class,Petrol,27099
2019,1171,2,Semi-Auto, C Class,Diesel,28599
2019,1500,1.5,Semi-Auto, C Class,Petrol,26999
2018,22000,2,Semi-Auto, C Class,Diesel,23499
2018,5678,1.6,Semi-Auto, C Class,Diesel,22399
2018,9769,1.5,Semi-Auto, C Class,Petrol,23099
2018,7073,2,Semi-Auto, C Class,Diesel,27499
2018,5532,2,Semi-Auto, C Class,Petrol,27449
2019,6118,2,Semi-Auto, C Class,Diesel,29749
2019,10476,3,Semi-Auto, C Class,Petrol,40699
2019,5409,2,Semi-Auto, C Class,Diesel,29699
2016,26500,2.1,Semi-Auto, C Class,Diesel,17699
2019,1000,2,Automatic, C Class,Diesel,33789
2019,2239,1.5,Semi-Auto, C Class,Petrol,26899
2019,1000,2,Semi-Auto, C Class,Diesel,31529
2019,1000,4,Semi-Auto, C Class,Petrol,69679
2019,1000,2,Semi-Auto, C Class,Diesel,31999
2019,1000,2,Semi-Auto, C Class,Diesel,36539
2019,649,1.5,Automatic, C Class,Petrol,27999
2017,34270,1.6,Semi-Auto, C Class,Diesel,16495
2015,34955,2.1,Automatic, C Class,Diesel,17295
2016,26160,2.1,Automatic, C Class,Diesel,22795
2017,41107,2.1,Semi-Auto, C Class,Diesel,17599
2017,17274,2.1,Semi-Auto, C Class,Diesel,18799
2019,11473,1.5,Semi-Auto, C Class,Petrol,25749
2019,13690,1.5,Semi-Auto, C Class,Petrol,19899
2019,10658,1.5,Semi-Auto, C Class,Petrol,20249
2019,10503,1.5,Semi-Auto, C Class,Petrol,25349
2017,23393,2.1,Semi-Auto, C Class,Diesel,18399
2019,10576,2,Semi-Auto, C Class,Diesel,29549
2019,14088,1.5,Semi-Auto, C Class,Petrol,20299
2015,35464,2.1,Semi-Auto, C Class,Diesel,13649
2017,30577,2.1,Semi-Auto, C Class,Diesel,19299
2017,8306,2,Semi-Auto, C Class,Petrol,19199
2017,15000,4,Semi-Auto, C Class,Petrol,48999
2018,31140,2.1,Semi-Auto, C Class,Diesel,24099
2017,24000,2.1,Semi-Auto, C Class,Diesel,20499
2020,1000,2,Semi-Auto, C Class,Diesel,39759
2019,1000,2,Semi-Auto, C Class,Petrol,34099
2020,1000,2,Semi-Auto, C Class,Petrol,33509
2016,27416,4,Semi-Auto, C Class,Petrol,36399
2015,29000,2.1,Semi-Auto, C Class,Diesel,19099
2019,14681,1.5,Semi-Auto, C Class,Petrol,20249
2019,1059,1.5,Semi-Auto, C Class,Petrol,27099
2019,3070,1.6,Automatic, C Class,Diesel,27799
2019,4818,1.6,Automatic, C Class,Diesel,26549
2019,3601,2,Semi-Auto, C Class,Petrol,30599
2019,14514,2,Semi-Auto, C Class,Diesel,19999
2019,10914,1.5,Semi-Auto, C Class,Petrol,25999
2019,13149,2,Semi-Auto, C Class,Diesel,26299
2019,8456,3,Semi-Auto, C Class,Petrol,47999
2018,8033,1.5,Automatic, C Class,Petrol,23399
2019,3250,1.5,Automatic, C Class,Petrol,24199
2019,9000,2,Semi-Auto, C Class,Petrol,28899
2019,1308,1.5,Semi-Auto, C Class,Petrol,26899
2017,11304,2.1,Semi-Auto, C Class,Diesel,22799
2016,17557,2.1,Semi-Auto, C Class,Diesel,18099
2019,3950,1.5,Automatic, C Class,Petrol,23399
2019,5510,2,Automatic, C Class,Diesel,37449
2019,4289,1.5,Automatic, C Class,Petrol,25099
2019,2524,1.5,Semi-Auto, C Class,Petrol,28499
2016,21118,2.1,Automatic, C Class,Diesel,24749
2015,30895,2.1,Semi-Auto, C Class,Diesel,16899
2018,10424,1.5,Automatic, C Class,Petrol,23100
2014,55731,2.1,Semi-Auto, C Class,Diesel,12100
2013,34998,2.1,Semi-Auto, C Class,Diesel,14000
2017,16946,2,Manual, C Class,Petrol,16189
2019,2000,1.5,Semi-Auto, C Class,Petrol,31199
2019,9568,2,Semi-Auto, C Class,Diesel,26999
2019,10738,2,Semi-Auto, C Class,Diesel,30199
2019,7861,1.5,Semi-Auto, C Class,Petrol,25649
2019,11357,2,Semi-Auto, C Class,Diesel,26149
2019,3721,2,Semi-Auto, C Class,Diesel,30799
2019,13490,2,Semi-Auto, C Class,Diesel,20499
2019,2500,1.5,Semi-Auto, C Class,Petrol,27099
2019,14944,1.5,Semi-Auto, C Class,Petrol,25799
2019,9723,2,Semi-Auto, C Class,Diesel,21599
2017,7900,2.1,Semi-Auto, C Class,Diesel,23149
2018,32809,2.1,Semi-Auto, C Class,Diesel,22199
2018,18257,2.1,Semi-Auto, C Class,Diesel,25399
2019,14298,1.5,Semi-Auto, C Class,Petrol,20299
2016,38974,2.1,Semi-Auto, C Class,Diesel,19024
2017,35062,2.1,Automatic, C Class,Diesel,24124
2016,45868,2.1,Semi-Auto, C Class,Diesel,18124
2020,1000,1.6,Semi-Auto, C Class,Diesel,32659
2017,42165,2.1,Semi-Auto, C Class,Diesel,22649
2019,15317,2,Semi-Auto, C Class,Diesel,20249
2019,11744,1.5,Semi-Auto, C Class,Petrol,25699
2019,15337,1.5,Semi-Auto, C Class,Petrol,23899
2019,14084,1.5,Semi-Auto, C Class,Petrol,19849
2019,14262,1.5,Semi-Auto, C Class,Petrol,19799
2019,1000,2,Semi-Auto, C Class,Diesel,34249
2019,14663,2,Semi-Auto, C Class,Diesel,20999
2019,5927,2,Semi-Auto, C Class,Petrol,30049
2019,13027,2,Semi-Auto, C Class,Diesel,25899
2019,13662,1.5,Semi-Auto, C Class,Petrol,24699
2019,14855,1.5,Semi-Auto, C Class,Petrol,25199
2018,14318,1.5,Semi-Auto, C Class,Petrol,18849
2018,12321,1.5,Semi-Auto, C Class,Petrol,19099
2016,7366,2,Semi-Auto, C Class,Petrol,18149
2017,22260,2.1,Semi-Auto, C Class,Diesel,19099
2019,1152,1.5,Semi-Auto, C Class,Petrol,35399
2017,14750,2,Semi-Auto, C Class,Petrol,21499
2019,2228,1.6,Semi-Auto, C Class,Petrol,29699
2019,1729,1.5,Semi-Auto, C Class,Petrol,25249
2017,22571,2.1,Automatic, C Class,Diesel,26249
2017,19224,3,Semi-Auto, C Class,Petrol,31399
2019,5910,1.5,Semi-Auto, C Class,Petrol,25999
2019,7645,1.5,Semi-Auto, C Class,Petrol,26399
2019,14366,2,Semi-Auto, C Class,Diesel,28999
2019,2000,1.6,Semi-Auto, C Class,Diesel,21899
2019,14316,1.5,Semi-Auto, C Class,Petrol,20299
2019,4499,1.5,Semi-Auto, C Class,Petrol,32624
2019,1499,2,Automatic, C Class,Diesel,30995
2019,2999,1.5,Automatic, C Class,Petrol,26495
2019,1724,2,Semi-Auto, C Class,Diesel,28495
2019,200,4,Semi-Auto, C Class,Petrol,88995
2020,5000,2,Semi-Auto, C Class,Diesel,34995
2017,37013,2.1,Automatic, C Class,Diesel,20623
2019,9,2,Automatic, C Class,Diesel,29995
2019,5999,2,Automatic, C Class,Petrol,30995
2019,2499,2,Automatic, C Class,Petrol,30995
2018,32809,2.1,Semi-Auto, C Class,Diesel,22199
2017,47000,2.1,Semi-Auto, C Class,Diesel,19999
2017,12000,2.1,Semi-Auto, C Class,Diesel,23749
2017,22040,2.1,Semi-Auto, C Class,Diesel,15499
2018,19302,2.1,Semi-Auto, C Class,Diesel,22199
2017,23555,3,Semi-Auto, C Class,Petrol,29849
2017,25639,2.1,Semi-Auto, C Class,Diesel,19199
2019,9501,2.1,Automatic, C Class,Diesel,24099
2019,3350,1.6,Automatic, C Class,Diesel,25699
2019,200,1.5,Semi-Auto, C Class,Petrol,25799
2019,8960,1.5,Semi-Auto, C Class,Petrol,25499
2019,2100,2,Automatic, C Class,Diesel,32699
2019,5511,2,Automatic, C Class,Diesel,32199
2019,1649,1.5,Automatic, C Class,Petrol,25799
2019,8371,2,Semi-Auto, C Class,Diesel,29949
2019,14525,1.5,Semi-Auto, C Class,Petrol,24499
2019,12582,2,Semi-Auto, C Class,Diesel,25949
2019,4889,2,Semi-Auto, C Class,Petrol,30249
2019,2499,1.5,Automatic, C Class,Petrol,25299
2019,1000,1.6,Semi-Auto, C Class,Diesel,31449
2019,200,1.5,Semi-Auto, C Class,Petrol,25799
2019,5800,1.6,Manual, C Class,Petrol,22299
2019,1000,1.6,Manual, C Class,Petrol,23879
2017,27829,2.1,Semi-Auto, C Class,Diesel,19999
2016,29810,4,Semi-Auto, C Class,Petrol,31649
2019,14725,2,Semi-Auto, C Class,Diesel,25104
2019,9249,2,Semi-Auto, C Class,Diesel,27924
2019,12907,2,Semi-Auto, C Class,Diesel,24924
2018,4127,3,Automatic, C Class,Petrol,38495
2019,12951,2,Automatic, C Class,Diesel,23624
2019,2407,2,Automatic, C Class,Diesel,28904
2019,2625,1.5,Semi-Auto, C Class,Petrol,29124
2017,22437,3,Semi-Auto, C Class,Petrol,30124
2017,46938,2.1,Semi-Auto, C Class,Diesel,19124
2017,19097,3,Automatic, C Class,Petrol,32124
2019,10871,2,Semi-Auto, C Class,Diesel,26799
2015,53000,2.1,Semi-Auto, C Class,Diesel,13999
2018,6813,2.1,Automatic, C Class,Diesel,20899
2019,5001,3,Automatic, C Class,Petrol,42799
2019,15194,2,Automatic, C Class,Diesel,23289
2019,15000,2,Semi-Auto, C Class,Diesel,23389
2019,3000,1.5,Semi-Auto, C Class,Petrol,25389
2019,2575,1.5,Semi-Auto, C Class,Petrol,24549
2018,7297,3,Automatic, C Class,Petrol,39249
2016,6900,2,Semi-Auto, C Class,Petrol,18799
2017,15066,4,Automatic, C Class,Petrol,48399
2017,8797,4,Semi-Auto, C Class,Petrol,41399
2019,1212,1.6,Automatic, C Class,Petrol,29899
2019,2136,2,Semi-Auto, C Class,Diesel,32999
2018,11258,2.1,Semi-Auto, C Class,Diesel,25999
2019,8000,3,Semi-Auto, C Class,Petrol,40599
2014,35700,2.1,Semi-Auto, C Class,Diesel,16499
2016,34000,2.1,Automatic, C Class,Diesel,20192
2019,14000,1.5,Semi-Auto, C Class,Petrol,22124
2014,38544,2.1,Semi-Auto, C Class,Diesel,15495
2013,77718,2.1,Semi-Auto, C Class,Diesel,7495
2015,58734,2.1,Semi-Auto, C Class,Diesel,10995
2014,36650,2.1,Semi-Auto, C Class,Diesel,12995
2013,49964,6.2,Semi-Auto, C Class,Petrol,22995
2017,19000,2,Semi-Auto, C Class,Petrol,23000
2016,25000,3,Automatic, C Class,Petrol,33500
2015,25199,2.1,Semi-Auto, C Class,Diesel,18990
2013,89000,2.1,Automatic, C Class,Diesel,8990
2014,80000,2.1,Automatic, C Class,Diesel,8990
2017,30000,4,Automatic, C Class,Petrol,33990
2015,80000,2,Manual, C Class,Petrol,11490
2015,37000,2.1,Automatic, C Class,Diesel,16490
2017,23000,2.1,Automatic, C Class,Diesel,17990
2015,67000,2.1,Automatic, C Class,Diesel,13990
2012,54000,2.1,Automatic, C Class,Diesel,8490
2017,11499,2.1,Semi-Auto, C Class,Diesel,25824
2017,16496,2.1,Semi-Auto, C Class,Diesel,25824
2016,35999,2,Semi-Auto, C Class,Petrol,18124
2017,28848,2,Semi-Auto, C Class,Petrol,22124
2017,22811,2,Automatic, C Class,Petrol,23124
2017,28023,2.1,Semi-Auto, C Class,Diesel,21124
2019,9,2,Automatic, C Class,Diesel,30995
2019,11397,1.5,Semi-Auto, C Class,Petrol,25749
2019,14517,1.5,Semi-Auto, C Class,Petrol,19749
2019,19821,2,Semi-Auto, C Class,Diesel,21449
2019,14222,1.5,Semi-Auto, C Class,Petrol,19799
2019,13794,1.5,Semi-Auto, C Class,Petrol,19849
2019,11785,1.5,Semi-Auto, C Class,Petrol,20149
2019,6685,1.5,Semi-Auto, C Class,Petrol,25849
2019,9227,1.5,Semi-Auto, C Class,Petrol,26099
2019,6880,1.5,Semi-Auto, C Class,Petrol,25849
2019,9419,2,Semi-Auto, C Class,Diesel,26499
2015,42000,2.1,Automatic, C Class,Diesel,16990
2016,44000,1.6,Automatic, C Class,Diesel,15990
2015,87000,2.1,Automatic, C Class,Diesel,12990
2015,50000,2,Automatic, C Class,Petrol,13990
2015,39000,2.1,Automatic, C Class,Diesel,14990
2014,54000,2.1,Automatic, C Class,Diesel,14990
2013,74000,1.6,Manual, C Class,Petrol,8990
2016,17000,2,Automatic, C Class,Petrol,15990
2012,96000,2.1,Automatic, C Class,Diesel,7490
2018,18321,2.1,Semi-Auto, C Class,Diesel,20771
2015,26314,2,Semi-Auto, C Class,Hybrid,18649
2017,53000,2.1,Automatic, C Class,Diesel,15990
2017,26000,2.1,Automatic, C Class,Diesel,17990
2016,29000,2.1,Automatic, C Class,Diesel,16990
2015,32000,4,Automatic, C Class,Petrol,39990
2016,57000,2.1,Automatic, C Class,Diesel,17990
2015,40000,2.1,Automatic, C Class,Diesel,16990
2015,96000,2.1,Automatic, C Class,Diesel,12990
2016,79000,2.1,Automatic, C Class,Diesel,13490
2017,31000,2.1,Automatic, C Class,Diesel,17490
2015,29000,2.1,Automatic, C Class,Diesel,13990
2012,91000,2.1,Automatic, C Class,Diesel,8990
2014,76000,2.1,Automatic, C Class,Diesel,12990
2016,38000,2.1,Automatic, C Class,Diesel,18990
2013,49000,1.6,Automatic, C Class,Petrol,8990
2014,52000,2.1,Manual, C Class,Diesel,12990
2017,18000,2.1,Automatic, C Class,Diesel,20990
2017,21149,2.1,Automatic, C Class,Diesel,21535
2017,10500,2.1,Manual, C Class,Diesel,20000
2016,71991,2.1,Automatic, C Class,Diesel,15910
2015,31063,2.1,Automatic, C Class,Hybrid,16499
2017,27040,2.1,Automatic, C Class,Diesel,16267
2017,14709,2,Automatic, C Class,Petrol,21999
2017,22000,2.1,Automatic, C Class,Diesel,16950
2011,68000,2.1,Automatic, C Class,Diesel,9950
2014,48000,2.1,Automatic, C Class,Diesel,14990
2019,8510,1.5,Semi-Auto, C Class,Petrol,26999
2018,11494,1.5,Semi-Auto, C Class,Petrol,22799
2018,11163,1.5,Automatic, C Class,Petrol,22849
2019,9839,2,Semi-Auto, C Class,Diesel,31699
2019,9690,1.5,Semi-Auto, C Class,Petrol,26199
2019,10234,1.5,Semi-Auto, C Class,Petrol,25299
2019,3092,1.5,Semi-Auto, C Class,Petrol,31599
2019,8746,2,Semi-Auto, C Class,Diesel,29599
2017,21459,2.1,Semi-Auto, C Class,Diesel,18999
2018,3438,2,Automatic, C Class,Petrol,28399
2015,71000,2.1,Automatic, C Class,Diesel,13990
2017,49000,2.1,Automatic, C Class,Diesel,15990
2014,50000,2.1,Automatic, C Class,Diesel,15490
2015,78000,2.1,Automatic, C Class,Diesel,14490
2012,88000,2.1,Automatic, C Class,Diesel,7990
2017,37000,2.1,Automatic, C Class,Diesel,17990
2014,50000,2.1,Automatic, C Class,Diesel,11990
2016,23000,2.1,Automatic, C Class,Diesel,18990
2015,52000,2,Automatic, C Class,Petrol,13490
2017,29000,2.1,Automatic, C Class,Diesel,20990
2014,60000,2.1,Automatic, C Class,Diesel,9990
2013,68000,2.1,Automatic, C Class,Diesel,9490
2015,42000,2.1,Automatic, C Class,Diesel,13990
2016,50000,2.1,Automatic, C Class,Diesel,19990
2016,35000,2.1,Automatic, C Class,Diesel,19990
2013,48000,2.1,Automatic, C Class,Diesel,9490
2019,14973,2,Semi-Auto, C Class,Diesel,20299
2019,14006,1.5,Semi-Auto, C Class,Petrol,20349
2019,1919,2,Semi-Auto, C Class,Diesel,29399
2019,15074,2,Semi-Auto, C Class,Diesel,25549
2015,44598,2.1,Automatic, C Class,Diesel,13599
2014,78966,2.1,Automatic, C Class,Diesel,13799
2017,28609,2,Automatic, C Class,Hybrid,17499
2016,24227,2.1,Automatic, C Class,Diesel,18268
2016,43003,2.1,Automatic, C Class,Hybrid,17999
2016,35822,2.1,Automatic, C Class,Diesel,16199
2017,29645,2,Automatic, C Class,Petrol,17488
2017,35649,2.1,Automatic, C Class,Diesel,18999
2018,29970,2,Automatic, C Class,Petrol,16799
2015,79520,2.1,Automatic, C Class,Diesel,10499
2016,38154,2.1,Automatic, C Class,Hybrid,19599
2017,12146,1.6,Manual, C Class,Diesel,16999
2012,60586,2.1,Automatic, C Class,Diesel,9124
2016,44617,2.1,Automatic, C Class,Diesel,15999
2018,6232,2,Automatic, C Class,Diesel,27649
2018,8796,1.5,Automatic, C Class,Petrol,23249
2019,13467,2,Semi-Auto, C Class,Diesel,20999
2019,13318,2,Semi-Auto, C Class,Diesel,20999
2018,10913,2.1,Automatic, C Class,Diesel,25999
2016,30611,2.1,Semi-Auto, C Class,Diesel,19699
2019,3220,3,Semi-Auto, C Class,Petrol,38999
2019,3598,1.6,Semi-Auto, C Class,Diesel,27099
2019,14895,2,Semi-Auto, C Class,Diesel,25999
2019,12902,2,Semi-Auto, C Class,Diesel,24499
2018,4715,2,Semi-Auto, C Class,Diesel,29199
2016,15000,2.1,Semi-Auto, C Class,Diesel,19999
2017,21212,2.1,Semi-Auto, C Class,Diesel,23999
2019,707,2,Semi-Auto, C Class,Petrol,32099
2019,3889,2,Semi-Auto, C Class,Diesel,28599
2019,930,1.5,Semi-Auto, C Class,Petrol,27199
2018,9861,1.5,Automatic, C Class,Petrol,23400
2014,53386,2.1,Automatic, C Class,Diesel,10999
2015,40005,2.1,Automatic, C Class,Diesel,12000
2015,40005,2.1,Automatic, C Class,Diesel,12000
2016,33036,2.1,Automatic, C Class,Diesel,14499
2016,17097,2.1,Manual, C Class,Diesel,19450
2018,36000,2,Manual, C Class,Petrol,15489
